Angle (rads),Power [Perpendicular To Original To Beam] (mW),Power [Parallel To Original To Beam] (mW),Normalized Perp (mW),Normalized Parallel (mW)
0,0.1623,0.2023,0.445145365,0.554854635
0.087266463,0.2644,0.1499,0.63818489,0.36181511
0.174532925,0.3485,0.1072,0.764757516,0.235242484
0.261799388,0.4293,0.0656,0.867447969,0.132552031
0.34906585,0.4975,0.031,0.941343425,0.058656575
0.436332313,0.5456,0.0066,0.988047809,0.011952191
0.523598776,0.5632,0,1,0
0.610865238,0.5494,0.0054,0.990266763,0.009733237
0.698131701,0.5147,0.0222,0.958651518,0.041348482
0.785398163,0.4486,0.0563,0.888492771,0.111507229
0.872664626,0.3636,0.1008,0.782945736,0.217054264
0.959931089,0.2753,0.1466,0.652524295,0.347475705
1.047197551,0.1678,0.2035,0.451925667,0.548074333
1.134464014,0.1008,0.2403,0.295514512,0.704485488
1.221730476,0.0648,0.2599,0.199568833,0.800431167
1.308996939,0.0585,0.2644,0.181170641,0.818829359
1.396263402,0.0958,0.2466,0.27978972,0.72021028
1.483529864,0.1506,0.2201,0.40625843,0.59374157
1.570796327,0.2071,0.1909,0.520351759,0.479648241
1.658062789,0.2724,0.1578,0.633193863,0.366806137
1.745329252,0.3778,0.1042,0.783817427,0.216182573
1.832595715,0.4716,0.0572,0.89183056,0.10816944
1.919862177,0.5385,0.0228,0.959380011,0.040619989
2.00712864,0.5774,0.003,0.994831151,0.005168849
2.094395102,0.5887,0,1,0
2.181661565,0.5666,0.0072,0.987452074,0.012547926
2.268928028,0.5117,0.0334,0.938726839,0.061273161
2.35619449,0.4398,0.0689,0.864556713,0.135443287
2.443460953,0.3464,0.1138,0.75271621,0.24728379
2.530727415,0.2481,0.1626,0.604090577,0.395909423
2.617993878,0.1728,0.1993,0.464391293,0.535608707
2.705260341,0.092,0.2388,0.278113664,0.721886336
2.792526803,0.0552,0.2559,0.177434908,0.822565092
2.879793266,0.0376,0.2638,0.124751161,0.875248839
2.967059728,0.0514,0.255,0.167754569,0.832245431
3.054326191,0.0949,0.2312,0.291015026,0.708984974
3.141592654,0.1544,0.2002,0.435420192,0.564579808
3.228859116,0.2382,0.1569,0.602885345,0.397114655
3.316125579,0.3268,0.1111,0.746289107,0.253710893
3.403392041,0.4042,0.0716,0.849516604,0.150483396
3.490658504,0.4887,0.0283,0.945261122,0.054738878
3.577924967,0.5322,0.006,0.988851728,0.011148272
3.665191429,0.549,0,1,0
3.752457892,0.5389,0.0024,0.995566229,0.004433771
3.839724354,0.4929,0.0265,0.948979592,0.051020408
3.926990817,0.4172,0.0659,0.863589319,0.136410681
4.01425728,0.3636,0.0933,0.795797768,0.204202232
4.101523742,0.2644,0.1457,0.6447208,0.3552792
4.188790205,0.1703,0.1954,0.465682253,0.534317747
4.276056667,0.1071,0.2288,0.318844894,0.681155106
4.36332313,0.0707,0.2493,0.2209375,0.7790625
4.450589593,0.0518,0.2614,0.165389527,0.834610473
4.537856055,0.0652,0.2559,0.203052009,0.796947991
4.625122518,0.1213,0.2297,0.345584046,0.654415954
4.71238898,0.1904,0.1966,0.491989664,0.508010336
4.799655443,0.2799,0.1535,0.645823719,0.354176281
4.886921906,0.364,0.112,0.764705882,0.235294118
4.974188368,0.4653,0.0626,0.881416935,0.118583065
5.061454831,0.5406,0.0258,0.954449153,0.045550847
5.148721293,0.5829,0.0048,0.991832568,0.008167432
5.235987756,0.6009,0,1,0
5.323254219,0.5866,0.0036,0.993900373,0.006099627
5.410520681,0.5322,0.031,0.944957386,0.055042614
5.497787144,0.4599,0.0674,0.872179025,0.127820975
5.585053606,0.3628,0.1159,0.757885941,0.242114059
5.672320069,0.2799,0.1581,0.639041096,0.360958904
5.759586532,0.1874,0.2041,0.478671775,0.521328225
5.846852994,0.0995,0.2478,0.286495825,0.713504175
5.934119457,0.0481,0.2731,0.149750934,0.850249066
6.021385919,0.0355,0.2785,0.113057325,0.886942675
6.108652382,0.0502,0.2707,0.156435026,0.843564974
6.195918845,0.092,0.2487,0.270032286,0.729967714
6.283185307,0.1774,0.2044,0.464641173,0.535358827
